4.กลุ่มสาระภาษากับการสื่อสาร (Language and Communication)		คนรับผิดชอบตอนนี้	แบงค์		SubID	SubNameENG	SubNameTHA	Credit	longCredit	belongTo
1361101	Introductory Thai Usage	การใช้ภาษาไทยเบื้องต้น	3	3-0-6	Faculty of Humanities
1361102	Thai Pratical Writing	การเขียนภาษาไทยเชิงปฏิบัติ	3	3-0-6	Faculty of Humanities
1361222	Thai Critical Reading	การอ่านภาษาไทยเชิงวิจารณ์	3	3-0-6	Faculty of Humanities
2701011	Thai Usage for Business, Science and Technology	การใช้ภาษาไทยเพื่อธุรกิจ วิทยาศาสตร์และเทคโนโลยี	3	3-0-6	Faculty of Liberal Arts and Science Kamphaeng Saen Campus
1999021	Thai Language for Communication	ภาษาไทยเพื่อการสื่อสาร	3	3-0-6	Integration Section of General Education
1354311	Khmer l	ภาษาเขมร l	3	3-0-6	Faculty of Humanities
1354312	Khmer ll	ภาษาเขมร ll	3	3-0-6	Faculty of Humanities
1354411	Khmer lll	ภาษาเขมร lll	3	3-0-6	Faculty of Humanities
1355111	Foundation English l	ภาษาอังกฤษพื้นฐาน l	3	3-0-6	Faculty of Humanities
1355112	Foundation English ll	ภาษาอังกฤษพื้นฐาน ll	3	3-0-6	Faculty of Humanities
1355113	Foundation English lll	ภาษาอังกฤษพื้นฐาน lll	3	3-0-6	Faculty of Humanities
1355114	English for Pre-Medical Students l	ภาษาอังกฤษสำหรับนิสิตเตรียมแพทย์ l	3	3-0-6	Faculty of Humanities
1355115	English for Pre-Medical Students ll	ภาษาอังกฤษสำหรับนิสิตเตรียมแพทย์ ll	3	3-0-6	Faculty of Humanities
1355201	Fundamental English Reading	การอ่านภาษาอังกฤษเบื้องต้น	3	3-0-6	Faculty of Humanities
1355202	Fundamental English Writing	การเขียนภาษาอังกฤษเบื้องต้น	3	3-0-6	Faculty of Humanities
1355203	Fundamental English Structure	โครงสร้างภาษาอังกฤษเบื้องต้น	3	3-0-6	Faculty of Humanities
1355204	Fundamental English Listening-Speaking	การฟัง-การพูดภาษาอังกฤษเบื้องต้น	3	3-0-6	Faculty of Humanities
1355205	Reading for Mass Communication in English	การอ่านภาษาอังกฤษด้านสื่อมวลชน	3	3-0-6	Faculty of Humanities
1355206	Technical English	อังกฤษวิชาการ	3	3-0-6	Faculty of Humanities
1355207	English Correspondence	การเขียนตอบโต้ภาษาอังกฤษ	3	3-0-6	Faculty of Humanities
1355208	English through Songs	ภาษาอังกฤษจากเพลง	3	3-0-6	Faculty of Humanities
1355209	Communicative English for Careers	ภาษาอังกฤษเพื่อการสื่อสารในงานอาชีพ	3	3-0-6	Faculty of Humanities
1355302	Report Writing in English	การเขียนรายงานภาษาอังกฤษ	3	3-0-6	Faculty of Humanities
1355303	English for Employment	ภาษาอังกฤษเพื่อการสมัครงาน	3	3-0-6	Faculty of Humanities
1356101	Elementary French l	ภาษาฝรั่งเศสเบื้องต้น l	3	3-0-6	Faculty of Humanities
1356102	Elementary French ll	ภาษาฝรั่งเศสเบื้องต้น ll	3	3-0-6	Faculty of Humanities
1356103	Elementary French lll	ภาษาฝรั่งเศสเบื้องต้น lll	3	3-0-6	Faculty of Humanities
1356104	Elementary French lV	ภาษาฝรั่งเศสเบื้องต้น lV	3	3-0-6	Faculty of Humanities
1357111	Elementary German l	ภาษาเยอรมันเบื้องต้น l	3	3-0-6	Faculty of Humanities
1357112	Elementary German ll	ภาษาเยอรมันเบื้องต้น ll	3	3-0-6	Faculty of Humanities
1357113	Elementary German lll	ภาษาเยอรมันเบื้องต้น lll	3	3-0-6	Faculty of Humanities
1357114	Elementary German lV	ภาษาเยอรมันเบื้องต้น lV	3	3-0-6	Faculty of Humanities
1358101	Elementary Japanese l	ภาษาญี่ปุ่นเบื้องต้น l	3	3-0-6	Faculty of Humanities
1358102	Elementary Japanese ll	ภาษาญี่ปุ่นเบื้องต้น ll	3	3-0-6	Faculty of Humanities
1358103	Elementary Japanese lll	ภาษาญี่ปุ่นเบื้องต้น lll	3	3-0-6	Faculty of Humanities
1358104	Elementary Japanese lV	ภาษาญี่ปุ่นเบื้องต้น lV	3	3-0-6	Faculty of Humanities
1362101	Chinese l	ภาษาจีน l	3	3-0-6	Faculty of Humanities
1362102	Chinese ll	ภาษาจีน ll	3	3-0-6	Faculty of Humanities
1362103	Chinese lll	ภาษาจีน lll	3	3-0-6	Faculty of Humanities
1362104	Chinese lV	ภาษาจีน lV	3	3-0-6	Faculty of Humanities
1362105	Chinese V	ภาษาจีน V	3	3-0-6	Faculty of Humanities
1367311	Myanmar Language l	ภาษาพม่า l	3	3-0-6	Faculty of Humanities
1367312	Myanmar Language ll	ภาษาพม่า ll	3	3-0-6	Faculty of Humanities
1367411	Myanmar Language lll	ภาษาพม่า lll	3	3-0-6	Faculty of Humanities
1395101	Communicative Korean l	ภาษาเกาหลีเพื่อการศึกษา l	3	3-0-6	Faculty of Humanities
1395102	Communicative Korean ll	ภาษาเกาหลีเพื่อการศึกษา ll	3	3-0-6	Faculty of Humanities
1395103	Communicative Korean lll	ภาษาเกาหลีเพื่อการศึกษา lll	3	3-0-6	Faculty of Humanities
1395104	Communicative Korean lV	ภาษาเกาหลีเพื่อการศึกษา lV	3	3-0-6	Faculty of Humanities
1395105	Korean Reading and Oral Report	การอ่านและรายงานภาษาเกาหลี	3	3-0-6	Faculty of Humanities
1398101	Communicative Malayu l	ภาษามลายูเพื่อการสื่อสาร l	3	3-0-6	Faculty of Humanities
1398102	Communicative Malayu ll	ภาษามลายูเพื่อการสื่อสาร ll	3	3-0-6	Faculty of Humanities
1398103	Communicative Malayu lll	ภาษามลายูเพื่อการสื่อสาร lll	3	3-0-6	Faculty of Humanities
1398104	Communicative Malayu lV	ภาษามลายูเพื่อการสื่อสาร lV	3	3-0-6	Faculty of Humanities
1398105	Malayu Reading	การอ่านภาษามลายู	3	3-0-6	Faculty of Humanities
1398106	Malayu Listening and Speaking	การฟัง-พูดภาษามลายู	3	3-0-6	Faculty of Humanities
1399101	Communicative Vietnamese l	ภาษาเวียดนามเพื่อการสื่อสาร l	3	3-0-6	Faculty of Humanities
1399102	Communicative Vietnamese ll	ภาษาเวียดนามเพื่อการสื่อสาร ll	3	3-0-6	Faculty of Humanities
1399103	Communicative Vietnamese lll	ภาษาเวียดนามเพื่อการสื่อสาร lll	3	3-0-6	Faculty of Humanities
1399104	Communicative Vietnamese lV	ภาษาเวียดนามเพื่อการสื่อสาร lV	3	3-0-6	Faculty of Humanities
1399105	Vietnamese Reading	การอ่านภาษาเวียดนาม	3	3-0-6	Faculty of Humanities
1399106	Vietnamese Listening and Speaking	การฟัง-พูดภาษาเวียดนาม	3	3-0-6	Faculty of Humanities
2724011	Intercultural Communication	การสื่อสารระหว่างวัฒนธรรม	3	3-0-6	Faculty of Liberal Arts and Science Kamphaeng Saen Campus
3754111	Foundation English l	ภาษาอังกฤษ l	3	3-0-6	Faculty of Management Sciences Sri Racha Campus
3754112	Foundation English ll	ภาษาอังกฤษ lll	3	3-0-6	Faculty of Management Sciences Sri Racha Campus
3754113	Foundation English lll	ภาษาอังกฤษ lll	3	3-0-6	Faculty of Management Sciences Sri Racha Campus
3754271	English for Careers	ภาษาอังกฤษในงานอาชีพ	3	3-0-6	Faculty of Management Sciences Sri Racha Campus
1371111	Information Media	สื่อสารสนเทศ	1	1-0-2	Faculty of Humanities
1418111	Computer Application	การใช้งานคอมพิวเตอร์	1	1-0-2	Faculty of Science
1999013	New Age Information Management In Everyday Life	การจัดการสารสนเทศยุคใหม่ในชีวิตประจำวัน	3	2-2-5	Integration Section of General Education
2729102	Computer Application in Everyday Life	การประยุกต์คอมพิวเตอร์ในชีวิตประจำวัน	3	2-2-5	Faculty of Liberal Arts and Science Kamphaeng Saen Campus
3752111	Information Resources for Research	ทรัพยากรสารสนเทศเพื่อการค้นคว้า	1	1-0-2	Faculty of Management Sciences Sri Racha Campus
